NOMBRES,TOTAL
ROSARIO,"9,320"
ALVARO,"9,215"
SERGIO,"9,101"
ANIBAL,"9,101"
VIRGINIA,"9,031"
FELIPE,"8,961"
MARLON,"8,928"
EMILIO,"8,883"
ESTEFANY,"8,833"
HERIBERTO,"8,816"
DIEGO,"8,800"
JOAQUIN,"8,761"
CELIA,"8,673"
LEONOR,"8,641"
GRACIELA,"8,615"
ELBA,"8,595"
DEL TRANSITO,"8,488"
ELSY,"8,485"
LILIANA,"8,448"
ABEL,"8,435"
GLADYS,"8,434"
GERSON,"8,430"
LIZETH,"8,427"
NANCY,"8,420"
EDENILSON,"8,380"
ADRIANA,"8,277"
RONALD,"8,209"
CANDELARIA,"8,181"
NICOLAS,"8,155"
YESSENIA,"8,122"
EVA,"8,026"
DAYSI,"8,025"
BRYAN,"7,995"
JUDITH,"7,982"
ARISTIDES,"7,933"
DORIS,"7,920"
FRANKLIN,"7,826"
NEFTALI,"7,779"
ROSIBEL,"7,703"
MARTIN,"7,668"
IRENE,"7,587"
LISETH,"7,586"
HERNAN,"7,569"
WILLIAN,"7,534"
ARNULFO,"7,525"
ALMA,"7,475"
YASMIN,"7,456"
REBECA,"7,441"
FIDEL,"7,435"
OLGA,"7,296"
JOHANNA,"7,155"
BALMORE,"7,146"
MONICA,"7,139"
ESTHER,"6,882"
ZULMA,"6,879"
ADA,"6,839"
MICHELLE,"6,827"
MARISELA,"6,678"
AGUSTIN,"6,655"
ALEXANDRA,"6,642"
KENIA,"6,625"
MARCO,"6,536"
LISBETH,"6,524"
DE LA CRUZ,"6,475"
ESTEBAN,"6,449"
DANILO,"6,388"
ELISA,"6,368"
MAURA,"6,367"
JOSEFA,"6,359"
REYNALDO,"6,349"
MARLENY,"6,338"
DOMINGO,"6,337"
AMELIA,"6,308"
MABEL,"6,290"
MARIELA,"6,281"
CHRISTIAN,"6,216"
STANLEY,"6,176"
ELIDA,"6,164"
CELINA,"6,093"
DANIELA,"6,077"
STEFANY,"6,071"
LEONARDO,"6,052"
NAPOLEON,"6,009"
IVETH,"5,992"
ESAU,"5,989"
IVETTE,"5,938"
IMELDA,"5,880"
NOEL,"5,877"
MELISSA,"5,876"
MARILU,"5,858"
AIDA,"5,813"
ALEX,"5,783"
ROCIO,"5,633"
NATIVIDAD,"5,614"
PETRONA,"5,613"
EZEQUIEL,"5,607"
ATILIO,"5,602"
TOMASA,"5,600"
TRANSITO,"5,592"
EMMA,"5,583"
NESTOR,"5,568"
ARELI,"5,554"
STEPHANIE,"5,537"
CLARIBEL,"5,533"
ABRAHAM,"5,528"
MELIDA,"5,513"
ORBELINA,"5,508"
TANIA,"5,485"
JOHANA,"5,471"
EMERSON,"5,444"
RINA,"5,415"
AMANDA,"5,377"
NORA,"5,376"
CINDY,"5,352"
PAOLA,"5,347"
ADRIAN,"5,345"
AMINTA,"5,343"
CRISTOBAL,"5,304"
SALOMON,"5,282"
DAMARIS,"5,274"
FELICITA,"5,257"
GEOVANNY,"5,139"
MATILDE,"5,109"
DAGOBERTO,"5,080"
ROGELIO,"5,061"
LOURDES,"5,060"
GREGORIO,"5,029"
ISIDRO,"5,013"
EMPERATRIZ,"5,004"
LORENZO,"5,003"
DIMAS,"5,003"
OFELIA,"4,980"
DENIS,"4,961"
IVONNE,"4,948"
GONZALO,"4,939"
